,RNA.CST,RNA.HYP,RNA.RN,RNA.DP,RNA.MED,RNA.Other
Klhl33,0.0253732193220375,0.188655929377496,0.203495887801998,0.229239659390846,0.30082157436887,0.160076846879869
Osgep,0.109481939440972,0.226961598552147,0.171141933614016,0.206227903167531,0.206032556291651,0.21907433996659
Apex1,0.0339441164987888,0.0546268826755616,0.0306755234025872,0.0616017254203916,0.055261444760527,0.058938962015449
Pip4p1,0.236197811589978,0.452182340628727,0.414085297482253,0.540683478153789,0.472536045977571,0.575220945600538
Pnp,0.0247270834015469,0.108817508646946,0.0383471394476072,0.083475992038892,0.075254813367966,0.0898146375411511
Pnp2,0,0.00576859622364617,0,0,0,0
Rnase4,0.000215224842734511,0,0.00383956724098611,0.0124405059706157,0.00402009388090852,0
Gm7247,0.00324860179829146,0.0153354333118079,0.00532071599114743,0.00792828178281202,0.00544117956429852,0.00329146570342554
Gm5622,0.00151132031908196,0,0.00139976756566543,0.00133718296631752,0.000553082843472052,0.00113916079391305
Ang4,0.000227488361767157,0,0,0,0.000577228166081319,0.00201790446271679
AY358078,0.00318084179946033,0.017111989146325,0.00973329690490676,0.00550391870399133,0.0125716354785083,0.00890485108338459
Mettl17,0.310972165720484,0.381879463483899,0.397174262220404,0.422070995352617,0.454980266178486,0.34148214972666
Slc39a2,0.0644024729007085,0.0419670098476298,0.0492582036057103,0.0382640654414071,0.0436194293894982,0.0183766141686952
Ndrg2,0.123578864418563,0.118240765366909,0.121020641327577,0.114393797587692,0.132177631594088,0.0979057013386569
Arhgef40,0.0469709892897439,0.47883307170365,0.246793354290991,0.326423282645866,0.297657560758057,0.292343908878456
Gm16617,0.000216067888041816,0.00119737492311356,0.00358116969946933,0.003075395023254,0.00385501688106801,0.00330506456325126
Zfp219,0.0484088162768985,0.0856070188712383,0.0841627345708353,0.0908972859541353,0.0980036800835736,0.0858355132616403
Tmem253,0.00501875374152953,0.0177128733905513,0.0121908104366857,0.0109580687981908,0.0112859746366215,0.020510835324721
Gm49086,0.00758326089325208,0.0111403460076199,0.00387157178169373,0.0134714348913642,0.0140021380706934,0.0162861293184119
Olfr221,0.000828271002725502,0,0.00211477710444903,0.000847399277273685,0.00383058375789227,0
Hnrnpc,0.939198658465754,1.07061547336403,0.748695110870508,0.999492208952145,0.888552949773884,0.958951087288713
Rpgrip1,0.184701392199978,0.404370956876531,0.34811060559204,0.315540007713447,0.343019910133464,0.36255463183432
Supt16,0.34219193424954,0.443296649911038,0.469411335805887,0.455012420573647,0.480594104973387,0.384397886429166
Gm26590,0.160330376901354,0.266312917796479,0.214201716367067,0.211039188828065,0.228179888747003,0.219046290844189
Chd8,1.06036916866143,1.02076913874826,0.878671382581255,1.00677190182334,1.01701673649801,0.978379671060835
Rab2b,0.249548415995181,0.459171017356914,0.369658308934598,0.378948575804333,0.408256781595436,0.448522294741224
Tox4,0.599775599475334,0.67838353406293,0.557871954226509,0.618055642682057,0.618485135971541,0.643120514166804
Mettl3,0.166649418712832,0.320546927765576,0.242410414187157,0.230785171836368,0.280149121904055,0.264902738496747
Sall2,0.0464803071923106,0.0662132345104605,0.0388559477574708,0.0591059838365866,0.0670007612229206,0.0584019935059584
Olfr1513,0.0105747907617924,0,0.00223728177082345,0.00121513404537048,0.00738723370558463,0
Olfr1512,0.000720162698377703,0,0.000498980258993707,0,7.95919163266102e-05,0
Olfr1511,0.00172755428020258,0,0.000427795242993901,0.000364720844489232,0.000273587796052558,0
