,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Mvb12b,0.028866664,0.115029007,0.595,0.578,1
A230072C01Rik,0.904347292,0.114986501,0.128,0.128,1
B020010K11Rik,0.881213613,0.114982086,0.018,0.019,1
Tmem123,0.674115721,0.11497681,0.037,0.034,1
Arntl2,0.865471285,0.114874156,0.269,0.272,1
Pex11b,0.696241283,0.114873778,0.082,0.086,1
Nf1,5.69E-06,0.114796299,0.878,0.844,0.151175982
Nploc4,0.009397672,0.114645048,0.482,0.456,1
Kcna6,0.291435418,0.11461397,0.225,0.214,1
Psmb7,0.167981317,0.114521894,0.301,0.288,1
Mrps15,0.901764475,0.114502472,0.239,0.243,1
Jak1,0.261218835,0.114376668,0.484,0.475,1
Clip3,0.401879141,0.114367163,0.313,0.305,1
Gpkow,0.341319168,0.114350945,0.234,0.255,1
Abi1,0.022467334,0.114329967,0.604,0.588,1
Evl,0.002110611,0.114324178,0.723,0.7,1
Slc4a4,0.911562178,0.114277025,0.15,0.15,1
Zswim7,0.268087011,0.114265932,0.333,0.325,1
Spata45,0.216948912,0.114176628,0.042,0.035,1
Pcolce2,0.235497988,0.114142604,0.263,0.25,1
Gm32786,0.783405504,0.114031136,0.129,0.127,1
Neurl1a,0.407072393,0.114006523,0.247,0.263,1
Nanos1,0.649245036,0.113969872,0.084,0.081,1
Cnnm1,0.302073913,0.113941568,0.328,0.321,1
Ralgapa2,6.41E-05,0.113919802,0.885,0.865,1
Pi4k2a,0.281768617,0.113906808,0.288,0.276,1
Sorcs3,0.146222764,0.113900192,0.66,0.651,1
Mrrf,0.460979194,0.113882183,0.14,0.133,1
Flt3l,0.574231161,0.113867107,0.051,0.055,1
Prune2,0.072968618,0.113859876,0.661,0.656,1
Doc2b,0.983677828,0.113853438,0.119,0.12,1
5730414N17Rik,0.4003151,0.113768748,0.022,0.026,1
Xiap,0.16010834,0.113732059,0.405,0.393,1
Syne1,0.00012581,0.113670212,0.928,0.915,1
Pdzd7,0.677219214,0.113670037,0.078,0.082,1
Eri3,0.020809896,0.113668599,0.572,0.556,1
Zranb1,0.407969473,0.113664617,0.493,0.501,1
Nxpe3,0.07095225,0.113654246,0.384,0.366,1
E130008D07Rik,0.856875618,0.11363656,0.02,0.021,1
Tro,0.019813075,0.113619863,0.626,0.596,1
Gm14296,0.115141532,0.113608722,0.339,0.325,1
Slmap,0.008602021,0.113554532,0.656,0.636,1
Fam117a,0.639590639,0.113544429,0.062,0.066,1
Cnot10,0.114154161,0.113535295,0.467,0.457,1
Slc46a3,0.35825458,0.113496351,0.11,0.12,1
Itgb3bp,0.115758651,0.113420939,0.353,0.337,1
Rab12,0.462595883,0.113377607,0.413,0.411,1
Crot,0.166005302,0.113375346,0.279,0.264,1
Dync1i2,5.97E-07,0.113334299,0.891,0.87,0.015877798
Bbs7,0.770453092,0.113314543,0.267,0.27,1
Slc5a3,0.284817383,0.113232533,0.168,0.157,1
Frmpd4,0.011056245,0.113220022,0.909,0.894,1
Wdr91,0.712464793,0.113189943,0.089,0.094,1
Ppp1r7,0.988064216,0.113104201,0.177,0.18,1
Plrg1,0.683432093,0.113083756,0.049,0.052,1
Fbxo8,0.683472408,0.113061345,0.339,0.343,1
Aard,0.624129442,0.113043042,0.09,0.086,1
Inpp1,0.993022762,0.113035185,0.17,0.172,1
Rnf170,0.171777746,0.113027222,0.352,0.337,1
Gm49957,0.341499027,0.113011236,0.016,0.013,1
Cystm1,0.897867173,0.112923171,0.341,0.35,1
Dym,0.025944718,0.112745183,0.597,0.589,1
Fndc1,0.678564549,0.112657851,0.087,0.091,1
2510046G10Rik,0.559383696,0.112654986,0.012,0.014,1
Olfml2b,0.356993899,0.112607036,0.023,0.027,1
Heatr3,0.111705542,0.112592289,0.389,0.372,1
Gm4258,0.029279137,0.112566468,0.699,0.684,1
Abhd17b,0.056636833,0.112461978,0.504,0.485,1
Gm43112,0.763453906,0.112459739,0.087,0.085,1
Rcbtb1,0.442139287,0.112449357,0.338,0.332,1
Apba2,0.006774212,0.112444209,0.766,0.745,1
Marchf4,0.024674236,0.112443059,0.409,0.384,1
1810024B03Rik,0.16412367,0.112441865,0.056,0.047,1
Ptchd4,0.283362438,0.112438849,0.543,0.544,1
Atad5,0.815446439,0.112419661,0.132,0.13,1
Cep70,0.019391741,0.112389325,0.639,0.624,1
Daxx,0.88644046,0.112358463,0.055,0.054,1
Ccdc51,0.75582233,0.112344778,0.105,0.109,1
Abhd17c,0.855888793,0.112343688,0.121,0.121,1
Fam171b,0.120318649,0.112310813,0.556,0.542,1
Zfp28,0.837795609,0.112288351,0.083,0.086,1
Nadsyn1,0.581942777,0.1122075,0.225,0.238,1
Cpsf6,0.003855064,0.112154995,0.704,0.693,1
Foxk1,0.468146312,0.112043045,0.25,0.246,1
Adgrg2,0.957650134,0.112033901,0.011,0.011,1
Slc6a11,0.573012393,0.111956915,0.077,0.083,1
R3hdm2,0.043095103,0.111930791,0.751,0.735,1
Necap2,0.232466439,0.111915431,0.245,0.233,1
Dclre1a,0.552601488,0.111890298,0.061,0.057,1
Snx8,0.678079701,0.111846601,0.186,0.194,1
Pag1,0.292946037,0.111742915,0.479,0.478,1
Dgkb,0.001017526,0.11166792,0.806,0.8,1
Tango6,0.36057697,0.111614315,0.24,0.233,1
Cpt1b,0.91540953,0.111604624,0.01,0.011,1
Tigar,0.400475259,0.111495722,0.16,0.152,1
Clcn5,0.468487236,0.111414431,0.365,0.365,1
Kdm3b,0.421399096,0.111363953,0.368,0.363,1
5730455P16Rik,0.602694204,0.11132566,0.23,0.225,1
Gm15446,0.951472618,0.11128066,0.29,0.301,1
Scn2a,2.17E-05,0.111272842,0.871,0.867,0.577706147
Shq1,0.556908443,0.111172101,0.182,0.175,1
Sirt3,0.913667558,0.111169297,0.3,0.307,1
Rcan2,0.012855138,0.111118395,0.692,0.681,1
Gnaz,0.817451948,0.111080862,0.262,0.267,1
Aopep,0.004746684,0.111072431,0.79,0.766,1
E130317F20Rik,0.215612332,0.111055272,0.071,0.082,1
Dclk1,1.53E-06,0.111043178,0.955,0.952,0.040677685
Mettl21c,0.322062663,0.111005178,0.035,0.03,1
Mical3,0.008222035,0.111001222,0.847,0.817,1
Hmgxb3,0.54007862,0.110978648,0.317,0.316,1
Slc19a2,0.468257068,0.110976195,0.14,0.134,1
Rapgef6,0.001773081,0.110959908,0.868,0.86,1
Actr2,0.023871098,0.110921881,0.669,0.658,1
Tmem265,0.394567037,0.110689818,0.151,0.143,1
Fut2,0.620845335,0.110642206,0.082,0.079,1
Bnipl,0.585476843,0.110635448,0.034,0.038,1
