812,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cSCI
Rapgef4os2,1.16E-13,-1.716299276,0.066,0.169,2.52E-09,0
Map6d1,2.41E-06,-1.715999776,0.039,0.089,0.052341902,0
Gpr135,0.000280157,-1.714784095,0.02,0.05,1,0
Chac2,6.52E-24,-1.711810932,0.152,0.323,1.42E-19,0
Rhbdl1,1.07E-30,-1.709863443,0.193,0.397,2.32E-26,-0.511463221
Smim19,9.25E-22,-1.70883447,0.118,0.277,2.01E-17,0
Hcfc1r1,0.000250196,-1.708714317,0.036,0.071,1,0
Atxn7l1os2,1.12E-05,-1.707579357,0.023,0.063,0.243246766,-0.486204971
Armh4,3.21E-37,-1.701819201,0.164,0.397,6.97E-33,-0.346333274
2310002F09Rik,0.000890951,-1.701259679,0.026,0.054,1,0
Siah3,6.55E-12,-1.690773231,0.057,0.148,1.42E-07,0.366200224
Zim3,5.77E-07,-1.688519964,0.034,0.086,0.012520809,0.356340409
Arhgef28,9.29E-08,-1.68707822,0.064,0.13,0.002017538,-0.770887752
Hist1h2be,1.18E-11,-1.686202215,0.058,0.149,2.56E-07,-0.795849942
Limd2,0.000653078,-1.678201496,0.022,0.05,1,0
Csmd2os,5.35E-42,-1.675911079,0.259,0.494,1.16E-37,-0.49868992
Stmn1,4.22E-27,-1.674435551,0.154,0.342,9.15E-23,0
4930525C09Rik,0.000158832,-1.672939702,0.032,0.068,1,0.381285889
4930419G24Rik,2.49E-269,-1.665249578,0.935,0.998,5.40E-265,0
Stard5,1.38E-11,-1.663030435,0.104,0.201,2.99E-07,0
Lrrc24,7.18E-11,-1.662862799,0.067,0.155,1.56E-06,0
Ryr1,1.27E-11,-1.659169319,0.074,0.167,2.75E-07,-0.825835849
Raver2,8.88E-66,-1.658408065,0.34,0.636,1.93E-61,0
Gucy2g,9.73E-05,-1.656990108,0.019,0.051,1,-1.495220879
Sft2d3,8.30E-13,-1.656906518,0.078,0.18,1.80E-08,0
BB557941,1.64E-05,-1.655101156,0.037,0.081,0.357064546,-0.715114327
Gsg1,2.66E-08,-1.654412302,0.035,0.095,0.00057703,0.347518348
Tmem204,2.45E-05,-1.650170854,0.041,0.086,0.531479395,0
Fam210b,6.21E-06,-1.649990527,0.029,0.073,0.134692951,-0.48166654
