812,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cSCI
Olfm3,7.57E-08,1.003757078,0.346,0.25,0.00164294,-0.605908562
Arhgap42,4.65E-41,1.005443078,0.737,0.506,1.01E-36,0.417658488
Ptpn5,9.27E-74,1.006554085,0.915,0.744,2.01E-69,0
Golga7b,3.54E-19,1.00720709,0.299,0.139,7.68E-15,-0.33234463
Dnajb1,0.016921995,1.007385836,0.06,0.039,1,-1.060145047
Ccdc13,1.25E-06,1.00746225,0.078,0.033,0.027041749,0.452551432
Ptpn9,1.00E-62,1.007644516,0.937,0.802,2.17E-58,0
Pxn,1.67E-14,1.007673841,0.218,0.098,3.62E-10,0.424828043
Abca8b,1.43E-19,1.008632339,0.39,0.214,3.11E-15,0.832218548
Zeb1,1.12E-130,1.009176499,0.992,0.936,2.44E-126,0
Cfap299,3.33E-07,1.009387706,0.18,0.105,0.007220704,1.210924818
Vmn2r56,1.11E-05,1.009524448,0.057,0.022,0.240174675,0
Spats2,2.07E-48,1.010724208,0.8,0.562,4.48E-44,0
Arih2,7.24E-46,1.010808609,0.749,0.472,1.57E-41,0
Dnhd1,3.30E-24,1.011699739,0.406,0.206,7.15E-20,0
Tspan7,4.44E-126,1.011719039,0.988,0.907,9.63E-122,0.577400405
Htt,1.00E-91,1.012104905,0.936,0.728,2.17E-87,0
Pam,8.08E-53,1.012960619,0.818,0.569,1.75E-48,0.320328895
Epb41l1,7.47E-81,1.013524884,0.949,0.763,1.62E-76,0
Sh2d3c,9.60E-27,1.013682101,0.358,0.155,2.08E-22,1.080225131
Jsrp1,5.74E-06,1.013776274,0.054,0.019,0.124652048,0
Nxn,6.48E-08,1.014969665,0.153,0.08,0.001407377,0.417515674
Srsf5,9.19E-68,1.015319653,0.883,0.645,1.99E-63,0
Cd302,2.24E-13,1.015379209,0.193,0.086,4.87E-09,0
Klf9,1.21E-45,1.017489829,0.755,0.499,2.63E-41,0
Rangap1,1.99E-36,1.018260152,0.645,0.376,4.31E-32,0
Atxn2l,2.36E-45,1.01831978,0.685,0.365,5.12E-41,0.661668571
Ubald1,3.37E-14,1.023488017,0.19,0.081,7.31E-10,0
Zdbf2,8.54E-19,1.024654314,0.35,0.184,1.85E-14,-1.00072187
BC005537,1.12E-43,1.025077855,0.665,0.39,2.44E-39,0
Erf,1.74E-17,1.026328757,0.24,0.104,3.78E-13,0
Mageb16,1.99E-08,1.026369104,0.082,0.029,0.000431463,0
Hk1,3.69E-62,1.028250693,0.863,0.623,8.01E-58,0
Trim39,1.62E-23,1.029104863,0.305,0.127,3.51E-19,0
Ccdc24,6.61E-06,1.02970841,0.056,0.021,0.143389513,1.01935433
Dstn,1.42E-44,1.03034407,0.742,0.477,3.08E-40,0
Dvl1,7.46E-27,1.030877643,0.427,0.206,1.62E-22,0
Tmem94,6.75E-28,1.031310425,0.427,0.202,1.47E-23,0.349626526
Sapcd1,1.06E-05,1.031784146,0.065,0.027,0.230876601,0.419647735
Rspo3,8.32E-13,1.032207994,0.612,0.528,1.80E-08,0.334173157
Oaz2,3.61E-47,1.033273355,0.664,0.364,7.84E-43,0.692227803
Pkm,1.11E-43,1.034233151,0.701,0.407,2.40E-39,0
Fbn1,3.17E-16,1.035030039,0.25,0.117,6.89E-12,0.494921115
D430019H16Rik,9.22E-21,1.035121684,0.285,0.123,2.00E-16,0.677344534
Pcbp3,1.92E-47,1.035197538,0.724,0.435,4.17E-43,0
Ern1,4.83E-31,1.035936325,0.568,0.326,1.05E-26,0
Ehd3,4.77E-21,1.036436685,0.303,0.136,1.04E-16,0
Hist1h4i,4.12E-06,1.038323819,0.059,0.022,0.089515164,-0.881594065
Gmip,3.39E-12,1.038833448,0.134,0.05,7.36E-08,0
Arid1a,2.34E-40,1.039207759,0.644,0.364,5.08E-36,0
Hist2h4,1.53E-13,1.03934094,0.125,0.041,3.32E-09,-0.792598568
Furin,2.24E-06,1.041064128,0.127,0.069,0.048633738,0
Slc41a2,7.17E-32,1.042423069,0.593,0.364,1.56E-27,0.690286529
Azin1,5.62E-30,1.042719256,0.559,0.327,1.22E-25,0
Ypel2,4.68E-27,1.042798929,0.518,0.302,1.02E-22,0.736163876
Osgin2,3.92E-25,1.043173264,0.33,0.142,8.51E-21,0
Ccdc169,1.02E-05,1.044908693,0.058,0.023,0.221645692,1.28714557
Ap2a2,5.17E-62,1.046128351,0.825,0.516,1.12E-57,0
Snrnp70,1.38E-169,1.04658999,0.997,0.968,3.00E-165,0
Ovol2,9.42E-26,1.047004574,0.474,0.266,2.05E-21,0
Rabggta,3.19E-16,1.050169335,0.221,0.095,6.93E-12,0.420008387
Slc2a9,1.79E-13,1.050244688,0.231,0.114,3.88E-09,0
Kcnip3,2.52E-45,1.051199224,0.909,0.854,5.48E-41,0
Rab40c,6.94E-57,1.051341305,0.818,0.528,1.51E-52,0
Lmna,4.87E-39,1.05232309,0.568,0.286,1.06E-34,0
Phex,2.29E-08,1.056034002,0.082,0.029,0.00049768,-1.242071057
Sde2,5.66E-18,1.057665353,0.242,0.104,1.23E-13,0
Plekhm1,6.08E-28,1.058497261,0.436,0.217,1.32E-23,0
C78859,1.50E-91,1.05876257,0.935,0.755,3.26E-87,0
Cd164l2,2.52E-11,1.059179045,0.149,0.063,5.47E-07,-0.908812766
Slc7a4,8.06E-26,1.059711866,0.334,0.141,1.75E-21,0
Gstp1,1.10E-05,1.059771824,0.057,0.022,0.239292443,1.13171991
Wtip,6.17E-06,1.060377717,0.054,0.019,0.133833344,1.045338627
Khnyn,4.83E-14,1.060485865,0.156,0.059,1.05E-09,0.41792379
Rapgef5,2.08E-139,1.060563945,0.998,0.991,4.51E-135,0
Ppp2r3d,5.70E-15,1.061164712,0.175,0.069,1.24E-10,0.322013786
Mark4,7.89E-42,1.061237602,0.623,0.331,1.71E-37,0
Myo1d,2.35E-71,1.062583726,0.888,0.639,5.10E-67,0
Snx9,5.16E-24,1.06318448,0.406,0.209,1.12E-19,0
Ppfibp1,1.48E-40,1.064010016,0.649,0.374,3.21E-36,0
Nrp1,1.13E-46,1.064654269,0.928,0.901,2.45E-42,-0.574558802
Ube2q2,2.71E-50,1.06477428,0.752,0.493,5.89E-46,0
Ak7,0.000100268,1.065107096,0.069,0.034,1,0
Ube4b,1.87E-82,1.066680919,0.924,0.743,4.07E-78,0
Stac2,8.16E-43,1.066687117,0.74,0.479,1.77E-38,0.358829523
Shank3,2.08E-53,1.067017093,0.769,0.495,4.52E-49,0
Sbk1,5.62E-31,1.06785219,0.484,0.247,1.22E-26,0
Mir22hg,7.16E-35,1.068310468,0.418,0.172,1.56E-30,0
1810046K07Rik,0.000707959,1.068761558,0.053,0.025,1,0
Vmn2r1,1.18E-06,1.070092401,0.059,0.021,0.025681511,0.56086034
Ptk2b,3.03E-127,1.070151772,0.984,0.891,6.58E-123,0.513689321
Eps8,1.56E-08,1.070292471,0.056,0.014,0.000338912,0
Hax1,7.20E-20,1.071144302,0.238,0.094,1.56E-15,0
Vldlr,1.90E-23,1.071379224,0.314,0.137,4.13E-19,0.43902172
Ski,6.08E-65,1.07206423,0.864,0.602,1.32E-60,0
Gcn1,4.13E-40,1.07242403,0.664,0.386,8.97E-36,0
Map1lc3b,1.97E-24,1.072963278,0.323,0.136,4.27E-20,0
Wsb1,6.40E-46,1.073584788,0.679,0.398,1.39E-41,0
Neb,7.03E-07,1.074729797,0.101,0.047,0.015259238,-0.932846523
Slc6a9,7.12E-16,1.075339604,0.206,0.086,1.55E-11,0.740704075
Capns1,2.78E-24,1.076185741,0.349,0.158,6.04E-20,0
Slitrk5,1.68E-36,1.07756583,0.582,0.318,3.64E-32,0
Tyro3,1.50E-33,1.079548466,0.4,0.16,3.25E-29,0
Ypel4,3.91E-51,1.079932763,0.661,0.339,8.49E-47,1.008637511
Ppp1r9b,6.32E-25,1.080073107,0.363,0.168,1.37E-20,0
Folr2,1.25E-06,1.080400532,0.072,0.028,0.027059804,0
Postn,3.89E-06,1.080815712,0.063,0.024,0.08436729,-2.131698839
Slc6a17,2.94E-102,1.081995717,0.935,0.728,6.37E-98,-0.364899128
B530045E10Rik,2.35E-08,1.082062167,0.096,0.038,0.000510649,-1.271327166
Plk2,1.25E-37,1.083527024,0.611,0.337,2.72E-33,0
Kcnd3,2.83E-111,1.08357345,0.977,0.888,6.14E-107,0.382706943
Abr,8.10E-140,1.08545721,0.998,0.939,1.76E-135,0.593030124
Igf1r,4.90E-88,1.086148842,0.947,0.832,1.06E-83,0.353924559
Galnt9,2.51E-100,1.086246022,0.968,0.847,5.44E-96,0
Trim66,7.83E-25,1.086286707,0.36,0.167,1.70E-20,1.031355719
Slc37a1,1.82E-19,1.086996951,0.264,0.114,3.96E-15,0
Upf1,3.44E-26,1.087168283,0.345,0.148,7.46E-22,0.423481704
Ctnnd1,3.64E-51,1.087389893,0.746,0.443,7.90E-47,0
Retreg1,1.43E-57,1.087571531,0.8,0.536,3.11E-53,0
Tspan9,3.27E-14,1.087601699,0.336,0.199,7.10E-10,0
Cystm1,6.54E-40,1.08852405,0.589,0.314,1.42E-35,0
Mybl2,3.95E-10,1.088632387,0.087,0.028,8.58E-06,0.999297307
Smox,2.64E-22,1.090659401,0.246,0.091,5.73E-18,0
Thbs3,6.45E-11,1.090696469,0.104,0.035,1.40E-06,0
Hsd17b12,3.01E-13,1.091425035,0.447,0.312,6.54E-09,-0.592850695
Atp1a1,1.97E-68,1.092280953,0.915,0.714,4.29E-64,-0.481682109
Nars,1.03E-60,1.092627619,0.796,0.501,2.24E-56,0
Rgl2,2.32E-24,1.093593633,0.346,0.156,5.04E-20,-0.367478831
11-Mar,5.88E-125,1.094769549,0.981,0.888,1.28E-120,0.690493772
C030013C21Rik,1.77E-05,1.096065934,0.053,0.02,0.384213518,0
Ece1,1.06E-33,1.096225577,0.57,0.32,2.31E-29,0.428008707
Inhba,0.000252789,1.096722304,0.156,0.105,1,0.603698819
Drg2,7.53E-22,1.09692214,0.24,0.088,1.63E-17,0
9530080O11Rik,2.10E-06,1.097363721,0.075,0.031,0.045554963,0
Col22a1,5.19E-13,1.098419024,0.201,0.094,1.13E-08,0
Chmp4b,1.09E-44,1.098685845,0.579,0.278,2.36E-40,0
Errfi1,5.18E-18,1.099087202,0.441,0.267,1.12E-13,0
Ccdc141,8.15E-09,1.100354242,0.089,0.033,0.000176877,0
Alpk1,1.39E-16,1.100462412,0.327,0.178,3.03E-12,-0.486612484
Egr4,5.91E-08,1.102283571,0.093,0.037,0.00128255,-2.564357127
Xkr6,2.97E-88,1.104397245,0.941,0.836,6.46E-84,0
Psme4,1.12E-113,1.105290651,0.982,0.907,2.42E-109,0
Lrmda,2.05E-07,1.105883355,0.111,0.052,0.004440614,-0.455375915
Ptger3,1.87E-16,1.106075849,0.244,0.111,4.06E-12,0
Coro1c,2.68E-47,1.106202543,0.673,0.38,5.82E-43,0
Ttyh2,0.000172064,1.10778029,0.059,0.028,1,1.515833297
Ssbp3,3.90E-80,1.109103979,0.898,0.745,8.46E-76,0
Tmem184b,4.68E-25,1.110852048,0.469,0.251,1.02E-20,0
Asns,4.75E-25,1.110899489,0.325,0.138,1.03E-20,0.774648374
Stx4a,1.19E-27,1.111042455,0.393,0.181,2.58E-23,-0.447690279
Lrrc8c,4.67E-62,1.111578003,0.812,0.549,1.01E-57,0
Mob3c,1.07E-10,1.112691177,0.108,0.039,2.32E-06,0.553179387
Capn2,1.45E-45,1.11288704,0.674,0.385,3.16E-41,0.634087044
Ankrd6,6.49E-28,1.113126827,0.436,0.22,1.41E-23,1.026535826
Galns,1.06E-18,1.113907913,0.221,0.087,2.30E-14,1.223111357
Slc7a15,5.80E-15,1.116778929,0.164,0.062,1.26E-10,1.09818929
Cmpk1,5.86E-30,1.116790506,0.453,0.227,1.27E-25,0
Prkab2,1.36E-72,1.127385512,0.849,0.579,2.96E-68,0
Lrp10,1.43E-11,1.128659587,0.124,0.046,3.11E-07,0.339715479
BC046251,1.95E-06,1.128666908,0.055,0.018,0.042278591,0.387782155
Por,2.49E-30,1.129238295,0.489,0.251,5.41E-26,0
Krt80,1.27E-17,1.130087566,0.256,0.118,2.76E-13,0.9534059
Plxdc1,4.17E-27,1.130772058,0.434,0.223,9.05E-23,0
Ncam1,2.03E-159,1.131594535,0.998,0.965,4.40E-155,0.593315066
Wdr66,8.84E-07,1.13177723,0.093,0.042,0.019190326,0.617648818
Mgat5b,2.35E-09,1.132060219,0.193,0.106,5.11E-05,1.127171025
Pold3,1.34E-37,1.133995112,0.499,0.238,2.91E-33,0
Taf5,6.83E-15,1.134053044,0.187,0.076,1.48E-10,0
Leprotl1,4.55E-22,1.134172605,0.294,0.129,9.88E-18,0.479623712
Ext2,1.86E-65,1.135022244,0.813,0.527,4.04E-61,0
Hpcal4,1.65E-22,1.135507082,0.289,0.122,3.58E-18,-0.665019985
Gan,1.55E-34,1.135579843,0.482,0.231,3.37E-30,0
Abca6,1.64E-08,1.13573453,0.117,0.052,0.000356541,0
Wdfy1,4.13E-52,1.136290681,0.631,0.31,8.97E-48,0
Ulk1,7.26E-33,1.136565724,0.435,0.192,1.58E-28,0
Rara,2.19E-36,1.136658811,0.496,0.235,4.76E-32,0
Ttbk1,1.26E-45,1.137107592,0.667,0.369,2.75E-41,0
D330050G23Rik,1.54E-17,1.139179918,0.211,0.084,3.34E-13,0.770346796
Herpud1,1.99E-20,1.140627063,0.237,0.092,4.32E-16,0.927355519
Itprid2,2.22E-36,1.141221406,0.534,0.269,4.82E-32,0
Wfdc8,1.70E-05,1.141913163,0.051,0.019,0.368862875,0.596839731
Sdk1,1.20E-09,1.14233518,0.152,0.072,2.60E-05,0.47353934
Kcnc1,1.92E-24,1.142443312,0.32,0.139,4.17E-20,0
Rrp36,1.19E-09,1.143129844,0.117,0.048,2.58E-05,0
Grhl1,4.81E-31,1.144966473,0.45,0.216,1.04E-26,0
Mbnl2,2.70E-236,1.145984537,0.998,0.982,5.85E-232,0
9530059O14Rik,7.96E-177,1.147057305,0.999,0.983,1.73E-172,0
Kif1c,6.92E-33,1.147306106,0.408,0.173,1.50E-28,0
Adam9,2.23E-48,1.147947246,0.674,0.402,4.83E-44,0
Ero1l,2.04E-31,1.151649492,0.536,0.297,4.42E-27,0
Pum2,2.07E-80,1.152214268,0.844,0.56,4.49E-76,0
Ccnl1,7.89E-56,1.152348372,0.735,0.436,1.71E-51,-0.347272288
Lpp,6.02E-100,1.155281822,0.952,0.764,1.31E-95,0
Dnah10,5.68E-10,1.155315322,0.102,0.037,1.23E-05,-0.386452342
Fam214b,2.47E-40,1.158356814,0.512,0.233,5.37E-36,0
F8,1.63E-19,1.15880905,0.26,0.112,3.54E-15,0.701419516
Slc35f6,8.51E-34,1.158933016,0.409,0.17,1.85E-29,0.34282752
Syt4,5.64E-42,1.161382602,0.594,0.318,1.23E-37,0
Lamc1,1.04E-45,1.16286082,0.731,0.46,2.25E-41,0
Stk38l,2.61E-44,1.163736345,0.694,0.436,5.66E-40,0
Kcnc4,2.28E-25,1.16460796,0.375,0.179,4.95E-21,0
Pole,2.00E-06,1.165384132,0.112,0.057,0.04341916,-0.414854832
Svil,3.41E-14,1.165791559,0.184,0.078,7.39E-10,-0.528321102
Vasp,1.17E-07,1.165826084,0.053,0.014,0.002529594,-0.397760842
Deptor,5.60E-19,1.165961155,0.365,0.196,1.21E-14,0.383031379
Ccdc88c,1.72E-56,1.166226092,0.792,0.496,3.73E-52,0.658404364
Maml2,4.12E-10,1.166670128,0.184,0.095,8.95E-06,0
Ush2a,8.85E-08,1.167134494,0.076,0.028,0.001921774,0
Chst11,1.02E-20,1.16890127,0.282,0.124,2.21E-16,0.664905121
Crem,2.47E-33,1.168945815,0.416,0.18,5.36E-29,0.40762286
Sgsm1,6.94E-42,1.170180264,0.708,0.463,1.51E-37,0
Serinc2,2.17E-79,1.170571588,0.865,0.602,4.72E-75,0.714405064
Tmem120a,2.68E-17,1.170762304,0.198,0.076,5.81E-13,-0.502829192
Cobl,3.39E-187,1.172192634,0.994,0.944,7.36E-183,0.565629974
Zfp655,5.81E-27,1.172208248,0.302,0.115,1.26E-22,0
Nwd1,3.39E-09,1.172698523,0.111,0.045,7.35E-05,0.84623942
Gpt2,4.01E-26,1.173472522,0.407,0.202,8.70E-22,0.740194357
Slc25a20,1.04E-15,1.17419605,0.225,0.101,2.25E-11,0
Rab11fip3,3.01E-93,1.178785293,0.943,0.759,6.53E-89,0
Trim41,5.31E-47,1.178814094,0.539,0.233,1.15E-42,0
Tenm4,3.37E-196,1.179231076,1,0.99,7.31E-192,0
Abca5,2.06E-73,1.180205737,0.846,0.552,4.48E-69,0.560726227
Dusp6,4.09E-21,1.180432893,0.213,0.074,8.88E-17,-1.289408074
Lrig1,1.92E-32,1.181839653,0.425,0.19,4.16E-28,0.640533185
Numbl,1.09E-48,1.182422252,0.612,0.302,2.37E-44,0.38526667
Rela,9.69E-24,1.182636544,0.303,0.128,2.10E-19,-0.332395814
Stpg2,1.39E-16,1.18281019,0.235,0.105,3.01E-12,0
Ipo5,1.50E-49,1.183769411,0.656,0.364,3.25E-45,0
Per2,9.38E-24,1.184159083,0.393,0.202,2.04E-19,0.513512866
Kctd15,2.10E-07,1.185223164,0.061,0.02,0.004552106,0.838496556
Eea1,1.49E-71,1.185610113,0.812,0.523,3.24E-67,0
E230016M11Rik,2.21E-47,1.189360191,0.61,0.31,4.79E-43,0.354975087
Rock2,6.94E-192,1.189699863,0.998,0.958,1.51E-187,0
Kmt2a,4.80E-132,1.190660028,0.968,0.792,1.04E-127,0.332599743
Serpina3n,1.54E-06,1.193338512,0.088,0.04,0.033469575,0
Anxa7,1.30E-52,1.193735716,0.688,0.378,2.83E-48,0
Camk1d,5.05E-240,1.194205578,1,0.974,1.10E-235,0
Mbd2,2.82E-69,1.1951003,0.788,0.479,6.12E-65,0.498998762
Gpr146,3.18E-18,1.195873844,0.18,0.062,6.91E-14,-0.365278755
Ascc2,3.06E-66,1.195997576,0.818,0.55,6.64E-62,0
Btk,1.02E-09,1.196140111,0.198,0.107,2.22E-05,1.263039163
Rapgef1,5.93E-83,1.197663234,0.894,0.639,1.29E-78,0.336093635
Col7a1,1.71E-06,1.197763719,0.053,0.017,0.037164772,1.039804881
Bcr,2.27E-68,1.198320536,0.829,0.544,4.92E-64,0
Tmprss9,3.37E-08,1.198762677,0.082,0.03,0.000730948,-0.580299487
Pnp,1.80E-05,1.199494654,0.053,0.02,0.390398881,0.484058079
Eno3,1.23E-06,1.203294228,0.064,0.023,0.026711684,0
Dtna,5.29E-193,1.20794679,0.999,0.924,1.15E-188,0
Gfod1,3.01E-133,1.20955158,0.98,0.844,6.54E-129,0
Btla,2.19E-20,1.209616097,0.217,0.08,4.75E-16,0.565208239
Enkur,9.99E-06,1.21014393,0.058,0.023,0.216940514,0
Slc26a7,1.59E-08,1.211090876,0.075,0.025,0.000346221,-1.677939854
Smad7,1.87E-27,1.211388909,0.475,0.258,4.05E-23,-0.433415743
Trps1,2.60E-53,1.212164894,0.675,0.372,5.64E-49,1.003190118
Tmem47,9.63E-19,1.214762021,0.221,0.088,2.09E-14,0
Fndc3a,6.80E-61,1.215618019,0.735,0.426,1.48E-56,0
Tom1,3.90E-28,1.217056689,0.427,0.215,8.46E-24,0
2900092C05Rik,1.68E-05,1.217213958,0.053,0.02,0.364491892,0
Btbd9,1.66E-157,1.219398622,0.983,0.876,3.60E-153,0.547340838
Eepd1,1.09E-10,1.220855389,0.127,0.052,2.37E-06,-0.657323309
Tnfrsf25,9.32E-17,1.221201104,0.152,0.049,2.02E-12,0
Zc3hav1,1.47E-08,1.222624601,0.074,0.024,0.000318545,1.531694187
Nrsn1,2.78E-38,1.223484315,0.527,0.267,6.04E-34,0
Ptpn23,1.20E-43,1.223906807,0.526,0.232,2.59E-39,0
Kcnk3,1.17E-32,1.223940216,0.401,0.175,2.55E-28,0.501655134
Amz1,2.73E-07,1.224245979,0.077,0.03,0.005935615,0
Arnt2,9.62E-110,1.224790603,0.937,0.736,2.09E-105,0.611968234
Gxylt2,4.29E-07,1.225625558,0.07,0.026,0.009301655,0.652842929
Aloxe3,8.15E-05,1.228263555,0.054,0.023,1,0
Csnk1a1,8.95E-153,1.230764053,0.98,0.849,1.94E-148,0
Pla2g7,5.91E-06,1.232805492,0.058,0.022,0.128233485,0.732017905
Mrpl48,2.40E-46,1.233701896,0.616,0.325,5.20E-42,0.422618065
Lsm11,8.96E-13,1.234234952,0.18,0.08,1.95E-08,-0.811882591
Arhgef2,2.83E-73,1.234965648,0.838,0.546,6.14E-69,0.34497627
Inpp4b,5.33E-39,1.235887403,0.501,0.234,1.16E-34,1.280483482
Zbtb10,3.28E-14,1.237929847,0.171,0.069,7.13E-10,0.48806032
Txnrd1,2.84E-32,1.238749877,0.492,0.256,6.16E-28,0
Nav1,3.62E-167,1.239870299,0.997,0.93,7.85E-163,0
Aldob,1.11E-06,1.240888539,0.058,0.02,0.024034882,0.499457561
Cep85l,1.89E-51,1.242403002,0.755,0.494,4.11E-47,0
Gpn2,2.44E-07,1.243254176,0.066,0.023,0.0052992,-0.430610824
Cd151,4.76E-12,1.243638687,0.106,0.034,1.03E-07,0.970697638
Mars,4.21E-24,1.245614313,0.248,0.088,9.15E-20,0.997172823
Fam241a,7.65E-43,1.246603295,0.535,0.25,1.66E-38,0
Tbxas1,1.60E-05,1.246754902,0.059,0.024,0.34633762,0
Eif4ebp1,1.33E-12,1.246898965,0.108,0.034,2.89E-08,1.414527761
Selenon,2.82E-14,1.247276141,0.217,0.1,6.11E-10,0
Zwint,2.56E-82,1.247515278,0.836,0.529,5.57E-78,0
Zmynd8,8.13E-166,1.253482065,0.994,0.902,1.76E-161,0.815167537
Mob3a,3.74E-14,1.254318323,0.149,0.054,8.12E-10,0
Rpl36a,4.93E-09,1.256526595,0.078,0.025,0.000107033,0
Mrpl39,2.86E-18,1.257038729,0.172,0.057,6.20E-14,0.797485671
Arhgef15,1.38E-14,1.257598474,0.15,0.054,2.99E-10,0
Vgll4,2.83E-30,1.258166946,0.46,0.236,6.14E-26,0.371755528
Rragd,2.18E-31,1.258187569,0.35,0.136,4.74E-27,0
Ubash3a,1.03E-10,1.260443017,0.103,0.035,2.24E-06,-1.114620129
Iars,1.33E-73,1.262349966,0.784,0.435,2.89E-69,0.488970096
Jak2,7.16E-73,1.264155741,0.797,0.472,1.55E-68,0
Pde12,5.40E-10,1.265802095,0.102,0.037,1.17E-05,0
Vat1l,7.38E-26,1.265809733,0.574,0.382,1.60E-21,0.565874379
B4galt3,4.16E-23,1.265946507,0.287,0.119,9.03E-19,0
Snx1,4.17E-58,1.268675944,0.685,0.36,9.05E-54,0.740993615
Aars,1.47E-62,1.269435493,0.724,0.382,3.19E-58,0.47350479
Aldh16a1,6.20E-06,1.269948637,0.065,0.026,0.134538266,0
Adcyap1,9.26E-32,1.27218202,0.38,0.16,2.01E-27,-0.66499827
Ina,4.13E-64,1.277834395,0.861,0.678,8.97E-60,-0.356543005
Rtn4,1.30E-122,1.280249259,0.945,0.764,2.83E-118,0
Arid5b,9.81E-162,1.280467176,0.99,0.912,2.13E-157,0
Mapre1,1.87E-50,1.280700727,0.587,0.274,4.06E-46,0
Rtn4rl2,9.17E-36,1.282906698,0.37,0.138,1.99E-31,0
Nmnat2,2.12E-83,1.284260657,0.966,0.868,4.61E-79,0
Pik3c2g,3.38E-08,1.287451824,0.064,0.019,0.000732777,-0.336596381
Ext1,1.75E-157,1.289558853,1,0.994,3.80E-153,0
C030017B01Rik,1.15E-14,1.292152168,0.131,0.042,2.50E-10,0.617896546
Cast,1.73E-50,1.292573465,0.627,0.325,3.76E-46,0
Dclre1a,3.19E-24,1.296362318,0.276,0.109,6.91E-20,0
Srpx2,3.80E-11,1.297390657,0.145,0.062,8.26E-07,0.794762288
Jmjd1c,6.72E-237,1.298701816,0.999,0.974,1.46E-232,0
Capzb,1.65E-72,1.299261097,0.752,0.394,3.58E-68,0
Slc30a4,1.27E-32,1.301654015,0.374,0.154,2.76E-28,0.516768135
Golim4,1.84E-20,1.30452611,0.211,0.076,4.00E-16,1.508421321
Zfp945,6.26E-40,1.305097814,0.468,0.206,1.36E-35,0
Cip2a,4.40E-08,1.307933336,0.073,0.025,0.000955905,-0.414142504
Prkg1,2.89E-08,1.308981646,0.116,0.053,0.000627959,-0.425897955
Adam17,2.12E-29,1.309313084,0.435,0.214,4.60E-25,0
Elovl4,3.55E-46,1.309373575,0.556,0.26,7.71E-42,0.356587197
Ubr5,3.81E-172,1.310560049,0.982,0.845,8.26E-168,0
Cntnap2,5.71E-178,1.310945478,1,1,1.24E-173,0.409653643
4930500H12Rik,4.45E-08,1.313241373,0.058,0.016,0.000965053,-0.401233776
Phf21b,1.64E-21,1.31401465,0.253,0.101,3.56E-17,0
Col6a1,4.26E-25,1.31596771,0.404,0.206,9.24E-21,0.497670177
9230112E08Rik,3.60E-07,1.318435975,0.064,0.022,0.007824554,0.643908184
Setd7,8.75E-69,1.318495096,0.753,0.423,1.90E-64,0
Tmem65,1.58E-51,1.318544228,0.583,0.272,3.43E-47,0
Arhgef11,2.51E-83,1.318544999,0.906,0.75,5.46E-79,0
Stat2,9.20E-40,1.319170558,0.518,0.252,2.00E-35,0
Rab30,2.80E-102,1.320178548,0.908,0.675,6.07E-98,0.375920557
Tmtc2,2.21E-54,1.322496567,0.799,0.552,4.80E-50,-0.413846496
Stk11ip,8.59E-22,1.322675936,0.202,0.066,1.86E-17,0.33122089
Eif4a1,2.46E-32,1.322893502,0.412,0.183,5.35E-28,-0.342804285
Plekhf2,4.06E-07,1.328094943,0.074,0.028,0.008814837,0.342613806
Trim24,1.86E-52,1.330103525,0.627,0.313,4.03E-48,0.608232304
Arhgef12,1.47E-182,1.332849246,0.98,0.909,3.20E-178,0
Ubr4,9.25E-62,1.334622564,0.754,0.432,2.01E-57,0
Pdrg1,4.83E-19,1.335617281,0.216,0.084,1.05E-14,0.571587197
Inppl1,3.90E-14,1.336427132,0.156,0.06,8.46E-10,0.38316715
Tnfsf4,7.93E-05,1.337318714,0.074,0.037,1,-0.546336417
Pgm2,4.42E-34,1.337439825,0.377,0.153,9.59E-30,0
Mamld1,3.65E-86,1.337644174,0.856,0.593,7.92E-82,0
Mrtfa,3.90E-174,1.33914084,0.974,0.808,8.46E-170,0.687678187
Iqgap1,5.68E-114,1.340359599,0.926,0.685,1.23E-109,0
Npas4,3.97E-34,1.344614675,0.38,0.152,8.61E-30,-2.435760125
Hecw1,2.80E-256,1.346759137,0.998,0.984,6.07E-252,0.757929578
Sez6l,1.05E-147,1.346932821,0.985,0.906,2.28E-143,0
4932412D23Rik,5.14E-07,1.348301848,0.055,0.017,0.011148941,0
Lzts3,4.65E-42,1.348691138,0.428,0.163,1.01E-37,0.892103678
1110017D15Rik,1.33E-33,1.35390914,0.375,0.152,2.88E-29,0
Unk,1.53E-44,1.354573537,0.479,0.197,3.32E-40,0.567662567
Rassf5,1.78E-42,1.355595847,0.521,0.25,3.86E-38,0
Cmip,6.87E-188,1.35762672,0.992,0.917,1.49E-183,0
Itpkc,8.12E-43,1.360819561,0.333,0.099,1.76E-38,0
Frmd6,1.74E-68,1.360841291,0.86,0.645,3.77E-64,-0.662020739
Pigf,6.84E-35,1.361768599,0.418,0.183,1.48E-30,0
Ralgds,4.26E-31,1.362058187,0.361,0.149,9.25E-27,0.372307128
4933409K07Rik,8.93E-24,1.362960666,0.222,0.074,1.94E-19,0
Ccdc81,1.29E-22,1.363720596,0.203,0.065,2.80E-18,0
Anks1,2.35E-94,1.363823275,0.875,0.574,5.10E-90,0.321435402
Clhc1,3.09E-06,1.366796437,0.053,0.018,0.067137097,0
Slc16a6,9.49E-56,1.367018203,0.561,0.238,2.06E-51,0
