,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7
Gm47390,0,0.002995398,0,0,0,0.005925838,0,0
Ercc6l2,0.470027327,0.513549567,0.383828327,0.403234035,0.452243596,0.580205818,0.449716793,0.38881759
Gm47424,0.00164582,0.001752721,0.003565452,0,0.001111711,0.007148154,0,0.001328228
Hsd17b3,0.002781335,0.014237935,0.013995171,0.004605897,0.010703079,0.033272096,0.047131542,0.00235443
Slc35d2,0.008567709,0.041400935,0.015386131,0.031619031,0.037897367,0.027877407,0.027714888,0.027007942
Zfp367,0.089914778,0.127541559,0.221193336,0.280624694,0.472445707,0.090596419,0.082729925,0.205376601
Habp4,0.328151777,0.397375143,0.512688614,0.317953378,0.541893189,0.351470113,0.391036483,0.388102035
Cdc14b,1.242495826,1.218323507,1.539560526,0.851168951,1.008997619,1.158779821,1.112311409,1.207843665
1810034E14Rik,0.507036531,0.486634316,0.525674262,0.342729825,0.409992888,0.418911101,0.413671384,0.405324016
Prxl2c,0.612773792,0.607453496,0.713317497,0.362554306,0.451976988,0.501124692,1.081259028,0.470039345
Gm47003,0.009521491,0.005009797,0.009163462,0.007744666,0.003925494,0.006995062,0.077842722,0.002710298
Ctsl,0.194040949,0.273269971,0.341265511,0.246923104,0.385607362,0.240467784,0.59360127,0.372593192
Gm47123,0.009620122,0.017813985,0.017941199,0.007729792,0.025907173,0.005076507,0.019993173,0.03172368
1700015C15Rik,0.000430292,0.000441158,0,0.001557428,0.001953146,0.000995711,0,0
Cdk20,0.044683012,0.032277262,0.042548946,0.025014465,0.040792077,0.056614444,0.037469058,0.03201695
Gm31218,0.000489286,0.00154025,0,0.00336285,0,0.015086559,0.001982964,0
Cntnap3,0.003243489,0.003017882,0.022444678,0.003600689,0.047611746,0.100117227,0.014103005,0.02014128
Prss47,0.002273925,0,0,0.002774416,0.000591273,0,0,0
Mfsd14b,0.260078109,0.214167676,0.249972494,0.284756081,0.235958553,0.247299792,0.23471895,0.283125194
Nlrp4f,0.001376675,0.004860234,0.002196544,0.000960333,0.000750796,0.00912553,0,0.003078177
Gm47249,0,0,0,0.000695572,0.002373917,0.000930211,0,0
Gm36445,0.034297126,0.015000884,0.037430322,0.017864197,0.020390296,0.029854605,0.034690676,0.027718625
Gm47251,0.002007582,0.003434841,0.000759682,0,0.001480029,0,0.003278608,0
Gm10775,0.003404778,0.002459022,0.000635975,0.000875558,0.006933899,0,0.002707822,0.001991593
Zfp369,0.344608962,0.279665712,0.417399686,0.212235714,0.286429567,0.247648953,0.38673278,0.331522168
Gm48166,0.002089601,0.002871392,0.001038664,0.00260859,0.001955109,0,0.058076332,0
Gm48170,0.0020744,0.001701464,0,0,0.001034868,0.001446032,0.003389135,0
Gm26754,0.002604323,0.000483495,0.000815165,0.000870167,0.002319624,0,0,0
Uqcrb,0.052329986,0.043391258,0.042697595,0.041743166,0.039571266,0.07173771,0.103329251,0.07059827
Gm10767,0.012943884,0.030724503,0.006151636,0.007319727,0.008291303,0.031394173,0.024607217,0.009611427
Mterf3,0.151736857,0.206311111,0.132949332,0.173712,0.149669824,0.242064855,0.188216062,0.1962727
Ptdss1,0.392529613,0.484119342,0.344206451,0.427850217,0.421164657,0.366463631,0.464879864,0.31828536
4933433G19Rik,0.075550141,0.083695174,0.079165482,0.065866585,0.085541972,0.061098504,0.07361453,0.053520753
Zfp712,0.015542956,0.023180074,0.017834745,0.017956962,0.009446508,0.003319428,0.019955497,0.026927327
Gm46440,0.04005505,0.051303728,0.057793069,0.03628194,0.027371661,0.052990112,0.050535662,0.057089205
Gm28557,0.006540503,0.008292385,0.00523664,0.009959436,0.001340303,0.003522763,0,0.00235443
Rslcan18,0.00080698,0,0.000422669,0,0,0,0,0
Zfp759,0.011086351,0.014901482,0.016393815,0.013086728,0.004608926,0.036136565,0.0090478,0.01107751
Gm48732,0.000263397,0.001281344,0,0.002776656,0,0,0,0
Rsl1,0.016503976,0.015739789,0.025467383,0.006822555,0.01631124,0.030503818,0.017426155,0.005352892
Zfp455,0.021541365,0.024824506,0.018554439,0.0156492,0.016755999,0.021051154,0.021105482,0.007725378
Gm49064,0.009921052,0.019979311,0.011263099,0.011209988,0.007276485,0.01177582,0.005717586,0.009771732
Zfp458,0.081047471,0.081345307,0.093091057,0.076033926,0.068168299,0.140826218,0.086631894,0.099083295
Zfp457,0.039577661,0.020174608,0.013226704,0.028018469,0.024511475,0.024614616,0.030282059,0.030747072
Gm48824,0.001423798,0.002179463,0.003500776,0.000446895,0,0.001555627,0.014485511,0
Zfp595,0.021526269,0.019140358,0.023195829,0.012649094,0.019119752,0.015678696,0.027459841,0.006807815
Gm17039,0.000793387,0.00071666,0,0.000638438,0,0.004519723,0,0
Zfp456,0.003776827,0.001363583,0.004099286,0.005447408,0,0,0.008743691,0
Zfp429,0.004413168,0.00806968,0.012942533,0.011495736,0.008842574,0.001873659,0.050244623,0.016101401
Gm48900,0.012253294,0.012107186,0.017486776,0.017702711,0.012838643,0.013868715,0.011988604,0.005140759
Zfp459,0.012918992,0.012831488,0.020246277,0.014226271,0.020416107,0.002545622,0.014436162,0.007806407
Zfp874a,0.088563945,0.11144389,0.108053555,0.154432106,0.075799382,0.086310182,0.114502017,0.097498682
Zfp874b,0.135573383,0.159625563,0.158612266,0.151673247,0.107747012,0.175298797,0.253410331,0.106425039
Gm48899,0.004855773,0.010239948,0.002546782,0.002807832,0.004450519,0.001186595,0.003016073,0.004948613
Zfp58,0.037771639,0.046066384,0.038846809,0.053376982,0.034706127,0.038858029,0.07755484,0.054713418
Zfp87,0.043550216,0.02981938,0.024797471,0.033231707,0.030609719,0.061382237,0.072507219,0.043828656
Zfp748,0.028819899,0.020881971,0.025765475,0.043090167,0.032327208,0.014581115,0.068107419,0.045069904
9430065F17Rik,0.05184963,0.042373847,0.034982966,0.019247416,0.022646457,0.037100336,0.054260967,0.029326547
Zfp729b,0.098550925,0.123760309,0.112716955,0.133707829,0.09202551,0.085610708,0.272938923,0.064366711
Zfp729a,0.08584849,0.099488966,0.083829444,0.076837285,0.067107451,0.080584684,0.22528606,0.081820996
Gm48095,0.000211254,0,0.000363744,0,0.000989642,0.001555627,0,0
Zfp738,0.295391272,0.28617571,0.286258316,0.24787086,0.249777108,0.338296135,0.293749249,0.239543692
Zfp65,0.061579304,0.048217491,0.070631576,0.043239843,0.047657093,0.041453566,0.105039033,0.066543227
Zfp85os,0.055563799,0.055839056,0.045950479,0.029786207,0.030737547,0.018568719,0.030381873,0.051465007
Zfp85,0.028499574,0.032757686,0.027200712,0.019349475,0.020338144,0.038702879,0.048109898,0.032813188
Zfp493,0.01844093,0.013037269,0.013655181,0.011799759,0.003946099,0.007835885,0.017223597,0.007218902
4930525G20Rik,0.044625702,0.043573338,0.026603529,0.029533824,0.035148092,0.03456961,0.066914305,0.030944185
Zfp273,0.063991879,0.057831891,0.054747825,0.048963514,0.059813272,0.087679599,0.069797318,0.063556581
Gm10037,0.033499192,0.018920946,0.012909213,0.015931225,0.006957455,0.032497867,0.019386826,0.010517779
BC048507,0.000668405,0,0.000640318,0.000544487,0,0.003263069,0,0
Mtrr,0.041237287,0.027553284,0.049649068,0.061476342,0.035410753,0.028396925,0.069132788,0.062700406
Fastkd3,0.018736592,0.024160306,0.01140668,0.022642316,0.022375752,0.03928984,0.039141296,0.028722256
Gm48556,0.001786015,0.002456914,0.001372144,0.000543852,0.001629256,0.001394136,0,0
1700001L19Rik,0.026890567,0.02064146,0.025007409,0.020615061,0.042958309,0.012607254,0.046762091,0.019487497
Adcy2,3.861116117,3.680637306,8.193895652,3.787726,10.90667277,3.835590607,5.101829234,7.941774562
Gm35161,0.024810832,0.033224678,0.015214874,0.01595564,0.020156808,0.042356418,0.04506933,0.039229699
Tent4a,0.247896701,0.212033038,0.210197588,0.293838311,0.231367364,0.231557639,0.205593582,0.190566791
Nsun2,0.393180732,0.4865804,0.316379254,1.170882414,0.393429298,0.460973437,1.321753042,0.36011037
A530095I07Rik,0.000406266,0,0,0.000807162,0,0,0,0
Srd5a1,0.042867012,0.042195877,0.01917861,0.085551682,0.032809608,0.042611179,0.019815796,0.03997118
Gm17108,0.011023189,0.012346021,0.009194543,0.008253303,0.005143584,0.013067076,0.021601035,0.004232458
Gm35618,0.01111956,0.010587826,0.013252074,0.008195118,0.010565362,0.011657395,0.037104652,0.011201199
Gm48819,0.004623634,0.007614132,0.001716802,0.001275788,0.00106575,0.002947046,0.002724402,0.003122451
Ube2ql1,0.33166518,0.558879825,0.481103819,0.563332268,0.441747072,0.281098384,0.45662143,0.360098185
Med10,0.0607509,0.0871137,0.061214279,0.085786482,0.067453797,0.021590351,0.05429967,0.061810454
4933416O17Rik,0,0.000870493,0.003162214,0.001527134,0.000845762,0,0.015783374,0.00813822
1700084F23Rik,0.004559074,0.020938952,0.013743943,0.008955205,0.02714745,0.001781261,0.049094098,0.004126267
Gm3772,0.056685705,0.122260616,0.108166933,0.051896372,0.090461937,0.044299768,0.219436141,0.03588266
AU017674,0.016433763,0.053262174,0.035399059,0.024666935,0.019055093,0.024368173,0.125574643,0.03076635
4930520P13Rik,0.001225776,0.004064769,0.010635583,0.002503297,0.002526732,0.00185577,0.0111027,0.015782754
Ice1,1.087580044,1.377788788,1.236518782,1.760449759,1.387737094,0.973743335,1.343953095,1.226950806
1700100L14Rik,0.000704446,0,0,0.001442809,0,0,0,0
Gm36607,0,0.001438983,0.000848079,0.002436758,0,0,0,0
Adamts16,0.004838465,0.00980996,0.013501475,0.003262517,0.010777652,0.013773512,0.002306925,0
Gm36529,0.000686948,0.001732161,0,0.000533398,0.001562447,0.002123796,0,0
1700112M02Rik,0.021212571,0.025488003,0.016293542,0.026620163,0.026117353,0.019318138,0.053523596,0.024143986
Gm40999,0.001594333,0.001682859,0.001791392,0.001299111,0,0,0.014308194,0
Ndufs6,0.020805009,0.025343325,0.020908271,0.010847175,0.01898758,0.056083699,0.040174613,0.015794049
Mrpl36,0.013811819,0.005328503,0.022232902,0.019480616,0.014053976,0.037948801,0.022118986,0.023072504
Lpcat1,0.205657889,0.172105925,0.190576133,0.215748717,0.150991934,0.195471107,0.154995028,0.149513919
Slc6a3,0,0,0.004978301,0.000359612,0,0,0.009828176,0
Clptm1l,0.050060163,0.048869278,0.045362241,0.042400275,0.046388916,0.036486141,0.050453797,0.071546035
Tert,0.020430091,0.022732373,0.01842723,0.014259875,0.020211443,0.026206619,0.040926872,0.010632809
Slc6a19,0,0,0.001099641,0,0,0,0,0.003387675
Slc12a7,0.000863669,0.000928233,0.001247949,0,0,0,0.013589354,0
Nkd2,0.003458424,0,0.000398498,0,0,0.005257416,0,0
Trip13,0.007663966,0.012237364,0.008825659,0.014506963,0.007930345,0.00322104,0.005559038,0.001624067
Brd9,0.905793842,0.76429521,0.810565367,0.76342314,0.659412117,0.84314341,0.887811958,0.802715385
Gm41002,0.005098409,0.001745017,0.000952394,0.001044879,0.003933624,0.003721312,0,0.004690324
Zdhhc11,0.000729969,0.000655782,0,0.003939676,0.001459767,0,0.014728844,0.008715782
Gm15912,0.011795411,0.010672147,0.018330114,0.013140363,0.009013481,0.002507916,0.007721407,0.005194066
Tppp,0.131529735,0.064371936,0.133072117,0.072997951,0.103603306,0.117683059,0.113724685,0.201940253
Cep72,0.005110831,0.009097703,0.006801651,0.006393276,0.016403291,0.016337096,0.038404581,0.006736334
Slc9a3,0.019351496,0.009232041,0.015735562,0.007525946,0.009493578,0,0,0.012669291
Exoc3,0.531649795,0.522884079,0.480686593,0.504883114,0.43709402,0.594247134,0.559096668,0.579079003
Ahrr,0.037492921,0.030288296,0.039187148,0.039567206,0.034563518,0.042429533,0.206572073,0.034720726
Pdcd6,0.131355909,0.178454689,0.162263728,0.157914828,0.15561091,0.138756608,0.184950019,0.152337018
Sdha,0.576348754,0.499776687,0.528695165,0.465213622,0.386738995,0.549735117,0.459406694,0.544116842
Ccdc127,0.147050492,0.10890135,0.088286095,0.102027913,0.096973944,0.129852391,0.074077167,0.100002729
Lrrc14b,0.002367866,0,0.000420183,0.00100039,0.004648241,0.006975517,0.004252668,0.007337619
Zfp72,0.108053107,0.065469535,0.074548548,0.060682603,0.069335111,0.097478126,0.060665218,0.093679242
Ftl1-ps1,0.067923628,0.210602367,0.241183355,0.279742478,0.326607385,0.073161759,0.154775181,0.200371534
Gm47428,0.002345708,0.002497622,0.001983355,0.004424538,0.006786118,0,0.007690027,0
E430024I08Rik,0.119738084,0.114018218,0.136314117,0.088120313,0.073866753,0.240284694,0.148207631,0.129924389
Zfp825,0.023642036,0.015492907,0.012141153,0.021269386,0.012967378,0.032818839,0.030201381,0.006784113
Gm49763,0.000821409,0.002098778,0.004341559,0.000642769,0.001505955,0,0.003765662,0
Gm47467,0,0,0,0,0,0.001559065,0,0
Gm47469,0.031902243,0.022248999,0.020279877,0.024097591,0.01648948,0.037654358,0.016666532,0.010741272
Gm46430,0.046731619,0.032394914,0.021477635,0.044845576,0.032968455,0.037010685,0.050533325,0.023519613
Erap1,0.083856178,0.111728548,0.088065668,0.090431266,0.077541809,0.103982329,0.073256448,0.232414063
Cast,0.555516473,1.013191382,0.987225889,1.113022485,0.906371855,0.484994738,1.235250614,0.673329839
Pcsk1,0.029462963,0.081157585,0.027023782,0.058528498,0.023084152,0.078003639,0.06317772,0.023688961
1700037F03Rik,0.026944216,0.032522042,0.036076942,0.028073788,0.029482389,0.030753696,0.026662833,0.033370956
Ell2,0.789527374,1.191365183,1.376646047,1.41904307,1.861700453,0.738817784,0.827108744,1.100492859
Gm48302,0.027428847,0.048626774,0.061274959,0.042762385,0.063622507,0.033589847,0.019868998,0.02168377
Glrx,0.095644035,0.100055008,0.087085651,0.046826339,0.085513601,0.086283756,0.106684895,0.07163984
Rhobtb3,0.265174444,0.255061462,0.153944129,0.213564223,0.238552326,0.439001458,0.207201065,0.161168408
Spata9,0.01117428,0.007060123,0.007542791,0.009578319,0.009897013,0.008754783,0.01077087,0
Rfesd,0.139311705,0.133086857,0.102062784,0.133330552,0.117081067,0.112997849,0.083991931,0.130854758
Gpr150,0.013377288,0.005352989,0.001460574,0.010538052,0.003754548,0.010610972,0.028947963,0.009108894
Arsk,0.120583244,0.101569059,0.06716509,0.072110944,0.093250548,0.093447533,0.061014833,0.065909622
Ttc37,0.895200236,1.169492956,2.109883894,1.075357823,2.31224255,0.911215342,1.225325405,1.601412384
Fam81b,0.009952825,0.014973969,0.007693204,0.024470659,0.010742012,0.002345381,0.006082513,0.017799047
Gm31219,0.000276837,0.002321825,0.003449888,0.003786256,0.002736759,0,0,0.015849566
Mctp1,3.770803958,2.869470795,1.539116557,2.894256213,1.01570566,2.630514458,2.702554525,1.819263261
Slf1,0.878750614,0.722834352,0.804755102,0.725917374,0.81613756,0.91524941,0.66497572,0.918045967
2210408I21Rik,3.001716796,2.073838604,2.543143629,1.640064563,1.742239192,2.337144866,2.493196355,2.309882543
Fam172a,2.690455512,2.131515328,1.848456516,2.317735709,2.301713948,2.882658139,1.938411461,2.289308909
Pou5f2,0.044860692,0.032015679,0.039186167,0.051082413,0.040097035,0.084767196,0.056082396,0.046996177
Gm38604,0.173368876,0.156255154,0.124104806,0.161406425,0.175609436,0.163454517,0.218129003,0.126248648
3110006O06Rik,0.011686455,0.005698984,0.007306878,0,0.002806021,0.015763672,0.007379302,0.007555838
Nr2f1,0.062194895,0.03226095,0.050473386,0.046750523,0.035869953,0.067391247,0.020379715,0.020586655
A830082K12Rik,0.297044982,0.211127061,0.209867305,0.278009717,0.236187912,0.513710575,0.137323969,0.300805316
Gm48399,0.00281748,0,0,0.003175752,0.000474755,0,0,0
Gm31946,0.004572994,0.001926641,0,0,0,0,0.005803083,0
Gm32067,0.005457097,0.004715504,0.005256038,0.000931358,0.00198154,0,0,0.002828838
Gm28526,0.011940409,0.010732119,0.010053634,0.008099014,0.009173657,0.010197259,0.012765408,0.020470729
Arrdc3,0.131346505,0.100584654,0.125428156,0.138258365,0.10026359,0.130663464,0.154227272,0.082076069
1700023H06Rik,0.002734067,0,0.001887121,0,0.001112632,0,0,0.00271691
5430425K12Rik,0.000244849,0.002045021,0,0,0,0,0,0
Gm4211,0.02083952,0.021524043,0.027715307,0.004652392,0.013082422,0.018936664,0.032862194,0.001328228
9330111N05Rik,0.102373597,0.050883596,0.034628063,0.027491559,0.01142806,0.13319117,0.065919673,0.004861156
Gm49375,0.000601328,0,0.000859993,0,0,0,0,0
Adgrv1,0.027414346,0.026637777,0.018519095,0.013351307,0.009148993,0.052479456,0.128771334,0.003651414
Lysmd3,0.110079368,0.178838918,0.107702358,0.174316438,0.165337645,0.089630304,0.111944496,0.127525147
Polr3g,0.142462224,0.232046751,0.1477703,0.34722275,0.19430744,0.186465665,0.210481724,0.12644051
Mblac2,0.822038854,0.70660673,0.782933398,1.0144366,0.525520147,0.871192771,0.737411956,0.521432347
Gm17259,0.034185428,0.028833049,0.020834386,0.044002393,0.041474192,0.032421829,0.018368217,0.049901887
Cetn3,0.181125957,0.18328002,0.182564166,0.26456265,0.238576699,0.241453936,0.178185471,0.2011686
Gm48155,0.009594046,0.004896805,0.004980992,0.003657974,0.001803582,0.00330487,0.010207895,0.001764953
2310067P03Rik,0.023978492,0.011880548,0.006880509,0.009789752,0.003744235,0.029182841,0.00612854,0
Mef2c,7.223275302,4.131810263,2.536045764,4.031691139,1.892664854,6.403119845,2.667031513,4.132602353
C130071C03Rik,1.948428923,2.017951588,2.276515921,2.777907107,1.987529593,2.498309869,0.935105809,2.297186931
Gm26803,0.018187484,0.019076119,0.011359155,0.015571539,0.009510676,0.017636891,0.006644077,0.004576759
2810049E08Rik,0.289857576,0.299230456,0.377138357,0.422186874,0.282529983,0.303608639,0.134392008,0.29871224
Gm4241,0.010151353,0.011767125,0.006176376,0.009400679,0.007909223,0.004775521,0.003738161,0
Gm17750,0.014735755,0.019783171,0.025376959,0.022960347,0.011172354,0.013238639,0.010120306,0.017110541
A230107N01Rik,0.010433676,0.017473264,0.006942539,0.011675125,0.009961461,0.00362466,0.009770059,0.006297936
Tmem161b,0.670386068,0.617030982,0.620819139,0.539304483,0.532173641,0.754414152,0.542448298,0.7133105
Gm49223,0.001336397,0.003017663,0.001883918,0.005612881,0.001732667,0.003246384,0,0
Ccnh,0.455489282,0.419802098,0.343840715,0.261313296,0.25695682,0.387130468,0.290200724,0.377640697
Rasa1,0.795954917,0.657476108,0.636315189,0.807485238,0.635756107,0.788757043,0.616101352,0.538999721
Cox7c,0.30752586,0.318037425,0.258870923,0.276060152,0.334259421,0.378822853,0.292834806,0.274374949
Edil3,4.436009535,3.308993563,1.515550175,3.356788095,1.090795155,6.641166673,3.298637878,1.418913066
Hapln1,0.002499016,0.000491761,0.004241861,0,0.004037935,0.026995592,0,0
Vcan,0.022009033,0.028643086,0.025890406,0.02874564,0.028998479,0.064630887,0.033413807,0.015385969
Gm4117,0.071897782,0.048290283,0.034188094,0.073449064,0.068262309,0.05355989,0.061059305,0.079002835
Xrcc4,0.729411584,0.664984461,0.530558859,0.640257651,0.655475966,0.785489189,0.400198588,0.823129184
Tmem167,0.426615542,0.377632486,0.41245808,0.425848138,0.461541503,0.429872485,0.327661523,0.420426565
Gm29680,0.00379063,0.001915673,0.004113971,0.002976993,0.017095196,0,0.020653046,0
Gm47520,0,0,0.00169843,0,0.000580302,0,0,0
Atp6ap1l,0.105830008,0.052333658,0.031436507,0.04938773,0.035790874,0.10652144,0.09655091,0.036234658
Rps23,0.057390636,0.064844365,0.053657938,0.064012537,0.048102404,0.087480439,0.054806544,0.031187248
Atg10,1.013336869,0.921974909,0.934873725,0.814482252,0.963428016,1.131434962,0.745584879,0.958223827
Gm47381,0.000255277,0.001847286,0.000847723,0.001941693,0.001232312,0,0.003851961,0
A830009L08Rik,0.070499941,0.072219725,0.053067152,0.061352315,0.046364887,0.052908348,0.027757791,0.040535543
Ssbp2,5.279882946,6.675915886,3.607173597,5.250828083,4.3049035,4.19866383,3.325784376,4.378401026
4833422C13Rik,0.283458606,0.361874537,0.159788308,0.224132757,0.192637679,0.248445902,0.320444224,0.20391034
Acot12,0.02029548,0.038637945,0.024860019,0.026532309,0.025568597,0.024208209,0.024638297,0.029519695
Zcchc9,0.163087623,0.164381869,0.170170135,0.185806517,0.202157631,0.194240214,0.255094715,0.171151233
Ckmt2,0.065460049,0.105389155,0.053588084,0.064239494,0.059464678,0.045954292,0.113957081,0.035753427
1700119I11Rik,0.004768942,0.002280644,0.004459627,0.010617482,0.004219233,0.009546388,0.005952651,0.003093181
Rasgrf2,0.057382024,0.107003343,0.129440961,0.091477936,0.666411045,0.245274098,0.072016863,0.560980447
Msh3,0.679756365,0.602463773,0.464673289,0.497920898,0.520297383,0.597060927,1.107899253,0.507066298
Gm20379,0.00364778,0.003572808,0.000619677,0.001422579,0.002224511,0.003480122,0.007409235,0.004433613
Dhfr,0.058599818,0.048024632,0.032896219,0.051669538,0.045754855,0.066156903,0.056111782,0.022228563
C030017D09Rik,0.006463771,0,0.001520391,0,0,0.008600348,0.005284981,0.00547554
Ankrd34b,0.094646425,0.070470144,0.054646322,0.022682264,0.015859326,0.049818183,0.09036174,0.035138274
Fam151b,0.119572847,0.096478576,0.103842186,0.112705208,0.108198312,0.100320325,0.112919691,0.12971955
Zfyve16,0.342030632,0.428085326,0.368352327,0.518767452,0.425215509,0.309665442,0.303474888,0.30448732
Serinc5,0.427741198,0.395718553,0.809433166,0.445330218,1.355502381,0.601880319,0.683002004,0.631450617
Thbs4,0.003392829,0,0.004207421,0.007273076,0.020421929,0.001559065,0.029671626,0.001723315
Mtx3,0.099849525,0.085925101,0.094580053,0.055349215,0.089089913,0.054054606,0.103521136,0.104088321
Gm31630,0,0.004035961,0,0.003030889,0.004814812,0.003675115,0.002724402,0
Cmya5,0.137688522,0.15183513,0.100817722,0.101124888,0.117578838,0.149743201,0.122208576,0.170846897
Gm4814,0.004912166,0.003822056,0.002871759,0.001609919,0,0.007305413,0.001423731,0.004907099
A630019I02Rik,0.000469918,0,0.000462106,0,0.001551657,0,0,0.001624067
Tent2,0.889538232,0.866433901,0.838832327,1.186518722,1.06807786,0.942746546,0.683538389,0.888328417
Homer1,1.525658558,2.757433761,1.710839465,2.564217421,2.539938579,1.770852195,1.489292044,1.800702772
Jmy,0.50129521,0.361252877,0.435388628,0.292752453,0.342457097,0.409231786,0.562298974,0.390762425
Bhmt,0.002701846,0.001781372,0.001468946,0,0.000611222,0.001260903,0.006107432,0.001723315
Gm15622,0.001250473,0,0,0,0,0,0,0
Bhmt2,0.007455812,0.015083374,0.001199664,0.007495726,0.00672292,0.012232815,0.001619061,0
Dmgdh,0.019352963,0.003066254,0.002483237,0.001671258,0.001284595,0.020592609,0.00656989,0.004162229
AW495222,0.021305981,0.009032337,0.003438782,0.006546991,0.002397868,0.021170682,0.025433729,0.009282834
Gm47210,0.001958557,0,0.001203191,0,0,0.001186595,0,0
Arsb,0.856621716,0.380769302,0.404954197,0.268667359,0.428821467,0.876571245,0.44221864,0.522005921
Gm47216,0.005270093,0.003798951,0.000636193,0.001137907,0.005471861,0,0.003016073,0.007301405
Lhfpl2,0.071229195,0.055629208,0.026793739,0.169434649,0.04144333,0.077468744,0.034939247,0.014776938
Scamp1,0.680579568,0.611107391,0.791691894,0.628101413,0.676609957,0.599527355,0.874667075,0.79469458
Gm32089,0,0.000594439,0.000462106,0,0,0,0.002724402,0
Gm9776,0.004409192,0.002890727,0.008699677,0.008430772,0,0.001781261,0.00755577,0
Ap3b1,0.826540625,0.908265561,0.949406569,1.013141588,0.845355229,0.898379633,0.777539475,0.839307078
Gm32305,0.001521583,0.00257382,0,0.002043685,0.001079684,0.008162077,0,0
Tbca,0.272704858,0.284311198,0.352078843,0.443884551,0.365059888,0.24170528,0.323810725,0.296363784
Otp,0,0,0,0.001527318,0,0,0,0
Wdr41,0.350649671,0.280935274,0.358630002,0.275943536,0.292066125,0.328237209,0.293868554,0.363518336
Gm48350,0.008962126,0.00416984,0.012719837,0.002239778,0.005468771,0.008606489,0.014579529,0.017547605
Gm48420,0.009455778,0.003748605,0.003351829,0.007705491,0.010092153,0.008215448,0.012012746,0.002240865
Pde8b,1.544987991,0.813455707,1.558695373,0.559701186,0.559949058,1.283007857,1.133528862,1.520557582
Zbed3,0.070902947,0.057543402,0.03701509,0.054475673,0.041383863,0.07134169,0.022987149,0.034619775
Aggf1,0.25245992,0.249904982,0.29025792,0.226191962,0.252518347,0.278543386,0.210303679,0.199537147
Crhbp,0.000654783,0,0,0,0.001323994,0.005479105,0,0
Gm48730,0,0,0,0.000554934,0,0,0.013746366,0
F2r,0.00172096,0.003534312,0.001114453,0,0,0.001932526,0,0.002015789
Iqgap2,3.776103984,4.855069932,2.991258866,4.649101932,3.341738461,4.089031798,2.685903226,2.651319334
F2rl2,0.027715938,0.037498251,0.00640009,0.03438759,0.014520924,0.025418686,0.00993502,0.023554225
AC171003.1,0.045124784,0.051535864,0.032060234,0.070115213,0.033860144,0.061942616,0.039882897,0.023087089
AC163685.1,0.090892471,0.155854756,0.065366269,0.154392301,0.07731627,0.102352812,0.092100386,0.038585933
Sv2c,0.39204114,1.298566228,3.855033779,0.761128768,5.052283483,0.798912264,0.803876316,2.611281116
Gm20075,0.007704874,0.028395008,0.075827219,0.017940811,0.108130987,0.007685777,0.012451004,0.027102654
Gm17190,0,0.001047131,0.004885202,0.000689014,0.004544935,0.002547283,0.003155883,0.012993181
Gm29543,0.002098049,0,0.00796872,0.000705808,0,0.007237149,0,0
Poc5,0.109450486,0.116025628,0.144041976,0.092461286,0.120212244,0.158708282,0.062324517,0.142578445
Ankdd1b,0.005282722,0.003442615,0.009354156,0,0.002610437,0.003148055,0.040476344,0.017609317
Polk,0.224111566,0.168563158,0.136064773,0.260848444,0.163636249,0.199118039,0.341528204,0.119461202
Col4a3bp,0.695692397,0.652912169,0.605427393,0.702349699,0.659568439,0.774133011,0.559136769,0.564970414
Hmgcr,0.205548529,0.220927081,0.387717355,0.262122007,0.24584433,0.196116956,0.354425513,0.292411788
Ankrd31,0.040667207,0.050119397,0.027058863,0.028880501,0.014516593,0.012223055,0.060047806,0.020889597
Gcnt4,0.176337398,0.116598824,0.131644209,0.147027518,0.133146693,0.165854801,0.14928453,0.130507041
Gm48597,0.011009918,0.009143665,0.010041733,0.016914713,0.007821012,0.006180704,0.018159963,0.009467082
1700029F12Rik,0,0,0,0,0,0,0.001954805,0
Fam169a,0.602468092,0.511813791,0.691550456,0.639216656,0.487614241,0.49205304,1.619508567,0.55719346
Gm6169,0.00647435,0.007579744,0.008504943,0.013145504,0.002877691,0.010072838,0.007629773,0.009332278
Nsa2,0.142042927,0.13168378,0.101805436,0.131176218,0.12159161,0.160802808,0.152976342,0.085650567
Gfm2,0.644448135,0.686107859,0.707678951,0.533157842,0.533294677,0.536334707,0.586426988,0.592956684
Hexb,0.212857262,0.229761413,0.256646506,0.404892022,0.251710086,0.211851995,0.213879596,0.226138687
Enc1,0.244125668,0.174336662,0.138810124,0.157738882,0.065597385,0.245117907,0.165307504,0.190373915
Lncenc1,0.003831598,0.009220807,0.012510042,0.004777088,0.00452785,0.093339318,0.143902736,0.001764953
Gm2379,0,0.001675312,0.001141123,0,0,0,0,0
Gm41030,0,0,0,0.000677794,0,0,0.025012303,0
Gm5086,0.066992875,0.031450478,0.022871821,0.045337387,0.00992352,0.048425768,0.099435061,0.04154998
5330416C01Rik,0.014535475,0.016413992,0.014254263,0.007694718,0.005163297,0.008033652,0.024115741,0.003287538
Gm26619,0.017963089,0.009580945,0.007686774,0.005894289,0.008030306,0.003084712,0.003291282,0
Gm10260,0.000963699,0,0.000636193,0.000712496,0.001103022,0,0,0
Gm41031,0.00092483,0,0,0.00102964,0,0,0,0
