,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7
4930556N13Rik,0.150251126,0.162643674,0.152641194,0.131904322,0.135757446,0.257113897,0.157305822,0.123567245
Scpep1os,0.052003971,0.074245639,0.0860091,0.068142743,0.085201747,0.03694116,0.058480439,0.029416949
Scpep1,0.353431211,0.491126077,0.599572318,0.4648106,0.539158072,0.261234185,0.416134587,0.523446166
Coil,0.227193272,0.177920017,0.180609607,0.151258791,0.118509703,0.229743524,0.138178332,0.13375148
Trim25,0.007182735,0.01835884,0.037562998,0.004565177,0.033550028,0,0.041475387,0.105406513
Dgke,0.343956812,0.250621931,0.247566177,0.169986429,0.209431613,0.404218208,0.308873143,0.300582412
Nog,0.000338144,0,0,0,0.001468118,0,0,0.004183862
Gm2018,0.003128516,0.000703543,0,0,0,0,0.003278608,0
Ankfn1,0.00351333,0.006621599,0.00521766,0.006770789,0.002574295,0.030249091,0.057910866,0.020140647
Pctp,0.006386928,0.001149356,0.008440639,0,0.000545114,0.00255273,0.00431304,0
Tmem100,0.001068445,0.006768044,0,0,0.001344254,0.032399848,0,0
Gm45716,0.064392225,0.05763601,0.041025301,0.082141963,0.020244155,0.016832637,0.037591759,0.034144999
Mmd,0.570551108,0.49067989,0.335341074,0.594842041,0.257494394,0.405524839,0.353191735,0.586241268
Hlf,0.439393609,0.062229255,0.165299871,0.078899426,0.051267768,0.368620996,0.242967658,0.229597584
Stxbp4,0.729831563,0.528769425,0.450991908,0.381511975,0.345213141,0.731258094,0.464065977,0.404714512
Cox11,0.260409454,0.297077869,0.282454914,0.272658346,0.336860269,0.334533336,0.21609463,0.280326407
Tom1l1,0.341902904,0.41705827,0.376834078,0.690851196,0.549824429,0.417862226,0.261427417,0.386902463
4930405D11Rik,0.004178568,0.002721795,0.00146697,0.00037096,0,0,0.009415088,0
Car10,2.660486394,1.980591836,3.048390707,0.918888767,1.249537365,2.667366283,3.344708448,3.116990385
Utp18,0.224892589,0.233851925,0.200198496,0.2454277,0.192823673,0.234518607,0.243584381,0.262478008
Mbtd1,1.791196468,1.601645888,1.657041482,1.22967858,1.430779363,1.802150637,1.837632077,1.281889821
Nme2,0.08269882,0.074017386,0.091772421,0.089004691,0.107370625,0.126594645,0.120877325,0.155753797
Nme1,0.171285513,0.181872225,0.218422355,0.183128493,0.193339618,0.153613701,0.172560198,0.200451239
Spag9,3.364225452,4.028939494,3.172286766,3.993982677,3.157549821,3.472495079,3.860309848,2.759386912
B230206L02Rik,0.063245685,0.050771649,0.036831931,0.067556475,0.058056171,0.056289344,0.12520034,0.045597222
Tob1,0.050774048,0.06489212,0.036994583,0.079254721,0.061302609,0.109721703,0.066255239,0.052590449
Wfikkn2,0.000806213,0,0,0.000887697,0,0,0.003291282,0
Gm21885,0.002093186,0.005494964,0.003573905,0.00755908,0.003690739,0.005029745,0.001423731,0
Luc7l3,1.70459395,1.437374086,1.451203594,1.307678593,1.246094604,1.731816684,1.548220851,1.814151315
Ankrd40,0.193140006,0.183949285,0.18147815,0.181535319,0.157752133,0.282283854,0.189343409,0.15095237
