,RNA.IC_1d,RNA.IC_3d,RNA.IC_7d,RNA.Uninjured,Minimum,,14856
1700036G14Rik,0,0,0.011461613,0.001674408,0,,
1700037C18Rik,0.061213767,0.045259945,0.385377074,0.211941858,0.045259945,,
1700037F03Rik,0.038049294,0.040749969,0.02636078,0.026663765,0.02636078,,
1700037H04Rik,0.04289098,0.063491679,0.047338249,0.045134817,0.04289098,,
1700039E22Rik,0,0.003144535,0,0,0,,
1700039M10Rik,0.002742628,0.004760058,0.003142283,0.002645508,0.002645508,,
1700039M15Rik,0,0,0,0,0,,
1700040D17Rik,0.001533379,0.002854297,0.006469866,0.00712532,0.001533379,,
1700040L08Rik,0.00130017,0,0.007403025,0.000245604,0,,
1700041B01Rik,0.005920279,0.004628705,0.016430267,0.016104361,0.004628705,,
1700041C23Rik,0,0,0,0.000653386,0,,
1700041G16Rik,0.004420921,0.002572503,0.01399272,0.014053493,0.002572503,,
1700041I07Rik,0,0,0,0,0,,
1700041M05Rik,0.001633982,0.00570928,0.003654971,0.001242016,0.001242016,,
1700041M19Rik,0.002212486,0.00956606,0.001291589,0.008849635,0.001291589,,
1700042G15Rik,0,0.003674954,0,0,0,,
1700045H11Rik,0.003739866,0.003889566,0.013282717,0.002664002,0.002664002,,
1700046C09Rik,0.002641295,0,0,0,0,,
1700047A11Rik,0.013896997,0.009813258,0.067177215,0.073176688,0.009813258,,
1700047F07Rik,0.003240287,0.00467675,0.017576392,0.034198911,0.003240287,,
1700047G03Rik,0,0.002463603,0,0.001410825,0,,
1700047I17Rik2,0,0,0,0,0,,
1700047K16Rik,0.012014435,0.006761119,0.036242897,0.035449025,0.006761119,,
1700047M11Rik,0,0.003194023,0,0.004572078,0,,
1700048F04Rik,0.003214322,0.00642222,0,0.006195228,0,,
1700048M11Rik,0.0008581,0,0.001055565,0.002302123,0,,
1700048O20Rik,0.015044931,0.017206216,0.020361675,0.021041327,0.015044931,,
1700049E15Rik,0.002785164,0.004301687,0.006215147,0.000290136,0.000290136,,
1700052H01Rik,0.002822573,0.004366491,0,0.004952712,0,,
1700052K11Rik,0.027345383,0.049373421,0.044010019,0.03382714,0.027345383,,
1700054A03Rik,0.068772211,0.026006005,0.280677685,0.174970125,0.026006005,,
1700054M17Rik,0.0031109,0.004550269,0.009263919,0.00642708,0.0031109,,
1700055D18Rik,0.003134234,0.007136544,0.016359454,0.007200012,0.003134234,,
1700056E22Rik,0,0,0,0.000900947,0,,
1700056N10Rik,0.021704565,0.022944121,0.024676297,0.018616224,0.018616224,,
1700057G04Rik,0,0,0,0,0,,
1700057H15Rik,0.029963136,0.021995922,0.022630158,0.019086639,0.019086639,,
1700057H21Rik,0.001665662,0.001501168,0.003051649,0.001539502,0.001501168,,
1700058P15Rik,0.001461018,0.000299277,0.005090432,0.001610211,0.000299277,,
1700060C16Rik,0.010431517,0.01054414,0.045350985,0.011251478,0.010431517,,
1700060C20Rik,0.001591072,0.003443675,0,0.000120286,0,,
1700060J05Rik,0.000237729,0,0.006755028,0.003159761,0,,
1700061E18Rik,0,0,0,0.00107474,0,,
1700061G19Rik,0.007392463,0.021385008,0.0359699,0.024205568,0.007392463,,
1700061H18Rik,0.005489863,0.009932854,0.016438514,0.002786445,0.002786445,,
1700061I17Rik,0.003004792,0.004348119,0,0.002355703,0,,
1700061J23Rik,0.010529747,0.008587191,0.007055685,0.000953753,0.000953753,,
1700061N14Rik,0,0,0,0,0,,
1700062C10Rik,0.001597813,0.006030388,0,0.000395444,0,,
1700063A18Rik,0,0.000502277,0,0,0,,
1700063D05Rik,0.000485949,0.004132618,0,0.004207661,0,,
1700063H06Rik,0.002186952,0.001591546,0,0.000308232,0,,
1700063J08Rik,0.011264069,0.004881624,0.024534649,0.011998018,0.004881624,,
1700064H15Rik,0.02482267,0.0207584,0.094050284,0.035253968,0.0207584,,
1700064J06Rik,0,0.007667959,0,0,0,,
1700064M15Rik,0,0,0,0.000935921,0,,
1700065D16Rik,0,0,0.003656586,0.000926945,0,,
1700065J18Rik,0,0,0,0,0,,
1700065L07Rik,0.0017863,0.005151302,0.012676508,0.003765869,0.0017863,,
1700066B17Rik,0,0.000577072,0,0,0,,
1700066B19Rik,0.023799394,0.035275271,0.051999962,0.029032713,0.023799394,,
1700066J03Rik,0,0,0,0.000468263,0,,
1700066M21Rik,0.01378753,0.015606495,0.029882653,0.033310318,0.01378753,,
1700066N21Rik,0.001773253,0.001499089,0,0.000166719,0,,
1700066O22Rik,0,0,0,0.000642634,0,,
1700067K01Rik,0.000938184,0.000671523,0.001188834,0.004614692,0.000671523,,
1700069B07Rik,0,0.001751318,0,0,0,,
1700069L16Rik,0.002996063,0.001122328,0,0.001095897,0,,
1700072G22Rik,0,0.000623809,0,0,0,,
1700072O05Rik,0.000302867,0,0,0,0,,
1700074H08Rik,0,0.003326167,0.008025506,0.005793505,0,,
1700080N15Rik,0.061434685,0.061869904,0.278025526,0.4817789,0.061434685,,
1700081B01Rik,0.01036822,0.007543918,0.021755837,0.007439587,0.007439587,,
1700081H04Rik,0.001884435,0.001414405,0,0.000115227,0,,
1700081N11Rik,0.007359209,0.007530572,0,0.011204038,0,,
1700082M22Rik,0.001907021,0.010142876,0.003336893,0.005501524,0.001907021,,
1700084C06Rik,0.28829598,0.325201383,0.977777027,0.746564229,0.28829598,,
1700084E18Rik,0.001050095,0,0.001141188,0.000408777,0,,
1700084F23Rik,0.005922532,0.015883544,0.028848238,0.010066598,0.005922532,,
1700085C21Rik,0.002991789,0.003570719,0.0318925,0.006624245,0.002991789,,
1700085D07Rik,0.497153317,0.27514736,1.546547534,1.375760911,0.27514736,,
1700086D15Rik,0.002712436,0.006901265,0.001685772,0.004221987,0.001685772,,
1700086O06Rik,0.025350322,0.065326418,0.090363487,0.063746312,0.025350322,,
1700086P04Rik,0.019118671,0.01544669,0.015731356,0.011831729,0.011831729,,
1700087I21Rik,0.221435834,0.132956693,0.25210569,0.187489741,0.132956693,,
1700087M22Rik,0.081687894,0.052138923,0.274766031,0.10326631,0.052138923,,
1700088E04Rik,0.166649509,0.309800504,0.154355441,0.146718215,0.146718215,,
1700092E19Rik,0.00132163,0,0,0.000279107,0,,
1700092K14Rik,0.016411276,0.00177413,0.013210693,0.014619988,0.00177413,,
1700092M07Rik,0.00047081,0,0.002743033,0.001296538,0,,
1700093J21Rik,0.044338688,0.043655754,0.023119533,0.040208266,0.023119533,,
1700093K21Rik,0.022750658,0.035102904,0.042054187,0.012783727,0.012783727,,
1700094D03Rik,0.048891807,0.020659839,0.039749273,0.037080235,0.020659839,,
1700094J05Rik,0.009918043,0.007749449,0.090983192,0.034744419,0.007749449,,
1700094M23Rik,0.07439829,0.096311319,0.086067899,0.125781926,0.07439829,,
1700095A13Rik,0.006026561,0.001154189,0.012650451,0.005585682,0.001154189,,
1700095A21Rik,0.002673581,0.00079718,0.017989482,0.015797486,0.00079718,,
1700095J03Rik,0,0.001225605,0,0.002074074,0,,
1700095J07Rik,0.011358522,0.00284522,0,0.005460213,0,,
1700095J12Rik,0.00163203,0.000773793,0.007949596,0.003957051,0.000773793,,
1700096J18Rik,0.000304605,0.002929883,0,0.002753105,0,,
1700096K18Rik,0.008187543,0.007790143,0.016773174,0.018000721,0.007790143,,
1700099I09Rik,0.001684748,0.00090204,0.007502652,0.002188071,0.00090204,,
1700100L14Rik,0,0,0,0,0,,
1700101I11Rik,0.009635169,0.003830663,0.017434926,0.006648708,0.003830663,,
1700101I19Rik,0.000757596,0,0.005026136,0.000861032,0,,
