,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4
Gm36371,0.0832550717716337,0.0857225744156184,0.16672358462365,0.142459335366314,0.125535074394959
Zfp444,0.163006542096594,0.183431250686337,0.187485866649755,0.155652960338695,0.295987057235019
Gm45148,0.0019506259866559,0.00542259640521917,0.00416811508665928,0,0
Epp13,0.0120448728298991,0.00662330707408031,0.00670739561854701,0.0088404273106608,0.0544228053323465
Gm45069,0.0799072161214567,0.0902571808500224,0.162639405512191,0.132790926078201,0.182086156056186
Zfp667,0.156120843903761,0.124680814078684,0.14830643062572,0.153057072215855,0.140463392317023
Zfp583,0.0985177730355631,0.102058317582237,0.0801258960208094,0.14635964069287,0.0986235953486966
Gm38944,0.00648453665634823,0.00172050854791659,0,0.0033822748504189,0
Gm3854,0.0659536125359179,0.0590845144402721,0.0755269880529318,0.0936398780581638,0.0184149175564141
Zfp78,0.0491731228453991,0.0514021709746885,0.032570848400248,0.0534165168415848,0.0382978806185796
Zfp28,0.026235242432287,0.0239365391415154,0.0176813330111789,0.0572107078003506,0.0424463387949228
Smim17,0.10623603673285,0.133772148589299,0.107550350790722,0.0603436684126419,0.0621484522146916
Olfr1344,0.00174425253337881,0,0.00351437273015451,0.00586633439748639,0
Olfr1336,0.00503151317613186,0.00605530649487231,0.00577836845599063,0.0237311348517271,0
Olfr5,0.00119193631245895,0.00170331055439352,0,0.00250436949868283,0
Olfr1348,0.00114813858032665,0.00105058956459891,0.00172141097860837,0,0
Zim1,0.00786375561554351,0.020005507563328,0.0104404631574028,0.0153277401175052,0
Peg3,1.78349489435174,1.72902467292826,1.68299735224574,2.08041366223274,2.27767481583911
Usp29,2.17086844229533,2.16138498242907,2.09728087799383,1.91666344640686,4.69525766476921
Zim3,0.0964216068973869,0.120068679470342,0.142625237766975,0.107429995469177,0.132265111889906
Zfp954,0.0048920968501869,0.00657368789354239,0.00631931302118108,0.0228019985303242,0.0312107564792707
Zfp773,0.00253874466947992,0.00309484975841598,0.00387209689535271,0,0
