,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6
Sdhaf4,0.0532032066617337,0.0519633863194573,0.018728979165748,0.0205390355380846,0.0342172337971969,0.0439748862942479,0.00709669442249109
Fam135a,0.632774224929022,0.687557063120661,0.743119483975927,0.698528424404063,0.812295815452439,0.600963283702252,0.695250106799604
Col9a1,0.00278845079903417,0.00215591670599679,0.000698155723913481,0,0,0,0.00412720031366722
Col19a1,0.00687118517608124,0.00691561425089555,0.00811355282464144,0.0419929933115973,0.00667068543957842,0.00733771003277755,0.0285748056776725
Lmbrd1,0.823363345028226,0.716056052562557,0.77703296053458,0.85259362791746,0.70928897754436,0.924447371061708,1.17137364924631
Adgrb3,21.6859666798406,19.7099896900384,28.3227711000429,26.5513234640847,21.5310997900455,18.2700920597805,26.0243135480192
Gm5524,0,0,0,0.00761764535118928,0,0,0
Phf3,1.38253439021911,1.27642400156777,1.19317310877024,0.879047961994774,1.29580233981918,1.38452746299466,1.18070054204727
Ptp4a1,0.00751001310147083,0.00647891829811196,0.00999820769575746,0.00721328894300593,0.00361758458018634,0.00349138727130977,0.0165423890393255
Ptp4a1.1,0.00786974060994033,0.00379267366380206,0.00345910376540068,0.00349981862815004,0.0099604194004307,0,0.0091325702157661
4931428L18Rik,0.011547361631003,0.015590857954821,0.00411551924159854,0.0161087354324246,0.0035846919315754,0.00334336454141242,0
Gm29128,0,0.00136726371427032,0.00245465260511066,0.00126320108291702,0,0,0
Lgsn,0,0,0.00134276470859135,0.0013864295169735,0,0,0
Khdrbs2,11.5991566466433,10.3614028105893,12.9804066520954,11.386947262503,10.8188897653204,7.46998457043216,13.3972859153657
Gm5415,0.0369019638858606,0.0210928785035665,0.00922440863187826,0.00649715690129112,0.0379484005449109,0.0115683402979327,0.00704261557108218
Prim2,0.159392139544155,0.153999146306409,0.149219181234641,0.201246618658316,0.181473808001525,0.218959635319248,0.163347508585755
Rab23,0.117125539960199,0.128347267726728,0.121204604607007,0.0999764658984236,0.114862867427548,0.27229810686875,0.123671348555478
Bag2,0.030819905575573,0.0505169314342735,0.0220293331913532,0.0318982366962677,0.0578924318426307,0.0221235540131005,0.0582090107915821
Zfp451,0.555058544899645,0.594780125684539,0.596677657583168,0.573561436622288,0.544963147378778,0.673565650787545,0.638058843945756
Bend6,0.925907696555576,0.987338104903888,0.751848114094991,0.619391504173245,0.971475989211309,1.09790440777848,0.621506036204835
